"Project Name",Status,Location,"End Use","Electrolyser Capacity (MW)","Project Capacity (Tonnes H2 P.A.)","More Info"
"Ocior - Odisha 1 MT Green Ammonia Plant",Announced,Odisha,"Ammonia production",0,1000000.000,https://ociorenergy.com/project-odisha/
"Thermax and FFI - Green Hydrogen Projects MoU",Announced,NA,NA,0,0,https://economictimes.indiatimes.com/industry/renewables/thermax-ties-up-with-fortescue-for-green-hydrogen-projects/articleshow/98551036.cms
"HPCL - Andhra Pradesh Green Hydrogen Project",Announced,"Andhra Pradesh",Refinery,46.500,7300.000,https://www.eqmagpro.com/indian-state-refiners-to-produce-30800-tonne-yr-green-hydrogen-by-2030-eq-mag/
"MRPL - Mangaluru Green Hydrogen Project",Announced,"Karnataka - Mangaluru",Refinery,3.521,500.000,https://www.eqmagpro.com/indian-state-refiners-to-produce-30800-tonne-yr-green-hydrogen-by-2030-eq-mag/
"NHPC - Kargil Green Hydrogen Pilot",Announced,"Ladakh - Kargil",Mobility,0,0,http://www.nhpcindia.com/Default.aspx?id=97&lg=eng&
"NHPC - Leh Green Hydrogen for Microgrid",Announced,"Ladakh - Leh",Microgrid,0.332,47.250,http://www.nhpcindia.com/Default.aspx?id=97&amp;lg=eng&amp;
"NTPC Green Hydrogen Mobility","Under construction","Greater Noida, UP",Mobility,1.600,94.900,https://static.pib.gov.in/WriteReadData/specificdocs/documents/2024/may/doc2024510336301.pdf
"Suzuki and Yamanashi - Hydrogen Manesar Project",Announced,NA,NA,0,0,https://www.globalsuzuki.com/globalnews/2022/0602a.html
"National Fertilizers Ltd. - Nangal Green Ammonia Plant",Decommissioned,"Punjab - Nangal",Fertilizers,149.000,0,https://documents1.worldbank.org/curated/en/579061468915012649/pdf/multi0page.pdf
"NTPC - AP Green Hydrogen Hub",Announced,NA,Export,0,547500.000,https://www.thehindubusinessline.com/companies/ntpc-to-install-20-gw-re-capacity-with-pumped-storage-at-ap-green-hydrogen-hub/article66799272.ece
"GH2 Solar and NHPC - Green Hydrogen Microgrid",Announced,NA,Microgrid,0,5.100,"https://www.pv-magazine-india.com/2023/04/21/gh2-solar-to-build-green-hydrogen-microgrid-in-leh/ "
"AVAADA &amp; Tata Steel Special Economic Zone Ltd (TSSEZL)",Announced,NA,"Ammonia production",0,1300000.000,https://energy.economictimes.indiatimes.com/news/renewable/avaada-group-tata-steel-special-economic-zone-to-set-up-green-hydrogen-ammonia-unit-in-odisha/103487660
"STL &amp; Hygenco GH2 Production Facility",Announced,NA,"GH2 Production",0,0,https://hydrogen-central.com/stl-among-the-first-indian-optical-companies-to-transition-to-green-hydrogen-for-sustainable-operations/
"REFPL - Odisha Green Hydrogen Project",Announced,"Malkangiri, Odisha","Methanol production",704.225,100000.000,https://energy.economictimes.indiatimes.com/news/renewable/odisha-approves-12-projects-with-investment-of-inr-84918-crore/105523997
"REFPL - Rayagada Odisha Green Hydrogen Project",Announced,"Rayagada, Odisha","Methanol production",0,300000.000,https://energy.economictimes.indiatimes.com/news/renewable/odisha-approves-12-projects-with-investment-of-inr-84918-crore/105523997
"Welspun New Energy Limited - Green Ammonia Project",Announced,NA,"Ammonia production",0,700000.000,https://www.icis.com/explore/resources/news/2023/11/30/10949434/india-s-odisha-state-approves-green-hydrogen-ammonia-methanol-projects/
"Sembcorp Green Hydrogen India - Green Ammonia Project Odisha",Announced,NA,"Ammonia Production",0,720000.000,https://www.icis.com/explore/resources/news/2023/11/30/10949434/india-s-odisha-state-approves-green-hydrogen-ammonia-methanol-projects/
"IIPE, NTPC: Green Hydrogen Project",Announced,"Simhadri, Andhra Pradesh","GH2 production using desalinated water",0.240,376.000,https://www.thehindu.com/news/cities/Visakhapatnam/iipe-in-visakhapatnam-launches-a-pilot-project-to-produce-green-hydrogen-using-ntpcs-desalinated-water/article67811250.ece
"Adani: Kutch Green H2 production capacity",Announced,NA,"Green Hydrogen production",5.000,0,
