"Project Name",Status,Location,"End Use","Electrolyser Capacity (MW)","Project Capacity (Tonnes H2 P.A.)","More Info"
"Ayana and Greenstat - Green Hydrogen Pilot",Announced,"Karnataka - Bangalore","Demo Plant",0,0,https://greenstat-india.com/niif-backed-ayana-renewable-power-partners-with-norway-based-greenstat-hydrogen-india-to-jointly-develop-green-hydrogen-projects-with-installation-of-an-initial-pilot-plant-in-bengaluru-karnataka/
"Fusion Fuel Green BGR Energy JV Hydrogen Plant",Announced,"Tamil Nadu - Cuddalore",NA,1,142,https://www.saurenergy.com/solar-energy-news/fusion-fuel-green-partners-with-bgr-energy-to-develop-green-hydrogen-projects-in-india
"Adani and TotalEnergies - Green Hydrogen Ecosystem",Announced,Gujarat,NA,0,0,
"NTPC, Ohmium and Spirare Energy - NETRA campus",Announced,"Uttar Pradesh - Greater Noida","Energy Storage",0.330,52.000,https://www.ohmium.com/news/ohmium-and-spirare-energy-collaborate-with-ntpc-netra-r-d-wing-to-provide-green-hydrogen-to-ntpc-for-indias-green-hydrogen-grid-project
"Shell - Bengaluru Green Hydrogen Project",Commissioned,"Karnataka - Bangalore","Green Hydrogen ",1.000,219000,https://truckandbusbuilder.com/article/2022/08/08/ceres-and-shell-to-trial-hydrogen-production-in-india
"Renew Power - Madhya Pradesh Green Hydrogen Plant",Announced,"Madhya Pradesh","Green Hydrogen ",352.113,50000.000,https://www.pv-magazine-india.com/2021/11/23/renew-power-wants-to-set-up-50-kiloton-green-hydrogen-plant-in-madhya-pradesh/
"ISA and NDDB - Varanasi Ramnagar Green Hydrogen Project",Announced,"Uttar Pradesh - Varanasi",NA,0,0,https://www.eqmagpro.com/mix-of-solar-and-biogas-to-produce-green-hydrogen-at-varanasis-ramnagar-dairy-eq-mag-pro/
"ONGC and Greenko - JV Green Hydrogen Project",Announced,"Andhra Pradesh","Ammonia Production",1300.000,184600.000,https://greenkogroup.com/assets/Pressrelease/09%20ONGC%20-%20Greenko%2026-Jul-2022.pdf
"Greenko - Green Hydrogen Production Plans",Announced,NA,"Ammonia production",3440.000,540000.000,https://economictimes.indiatimes.com/industry/renewables/india-to-export-green-energy-to-singapore-from-2025-greenko-keppel-sign-hydrogen-mou/articleshow/95076960.cms?from=mdr
"NTPC - Green Hydrogen from Solar",Announced,"Gujarat - Khavda, Rann of Kutch",NA,0,0,https://www.constructionworld.in/energy-infrastructure/power-and-renewable-energy/ntpc-to-set-up-4.75-gw-solar-park-in-rann-of-kutch/28336
"NITK Surathkal - Seawater Electrolysis Pilot",Announced,"Karnataka - Surathkal",Research,0,0,https://timesofindia.indiatimes.com/city/mangaluru/nitk-project-aims-at-producing-green-hydrogen-from-seawater/articleshow/91405674.cms
